,TV,Radio,Newspaper,actual sales,predicted sales
70,216.8,43.9,27.2,22.3,20.958844380474055
140,184.9,43.9,1.7,20.7,19.388779257257738
47,89.7,9.9,35.7,10.6,8.82996147759995
84,68.4,44.5,35.6,13.6,14.317351245639532
139,43.0,25.9,20.5,9.6,9.615753223332675
59,210.8,49.6,37.7,23.8,21.794431101024472
78,120.5,28.5,14.2,14.2,13.620035115529133
72,109.8,14.3,31.7,12.4,10.554099496863497
124,123.1,34.6,12.4,15.2,14.870520239899315
67,31.5,24.6,2.2,9.5,8.767471477987463
6,8.7,48.9,75.0,7.2,12.578350437689068
91,134.3,4.9,9.3,11.2,9.822338520509046
119,125.7,36.9,79.2,15.9,15.708526329498804
88,110.7,40.6,63.2,16.0,15.643942381581349
37,266.9,43.8,5.0,25.4,23.136264897813213
51,199.8,3.1,34.6,11.4,12.592691994573656
144,104.6,5.7,34.4,10.4,8.721616943317764
34,265.6,20.0,0.3,17.4,18.611188203398434
138,273.7,28.9,59.7,20.8,20.90148803012916
32,112.9,17.4,38.6,11.9,11.304838388380425
164,163.5,36.8,7.4,18.0,17.108236327278767
29,248.8,27.1,22.9,18.9,19.266543944328376
46,175.1,22.5,31.5,14.9,15.072546748379779
92,28.6,1.5,33.0,7.3,4.453761428512638
40,228.0,37.7,32.0,21.5,20.33409281095128
185,253.8,21.3,30.0,17.6,18.442791210587878
168,206.8,5.2,19.4,12.2,13.239333170634676
98,184.9,21.0,22.0,15.5,15.199612409774131
69,237.4,27.5,11.0,18.9,18.768087070688882
21,218.4,27.7,53.4,18.0,18.119839146582247
95,107.4,14.0,10.9,11.5,10.298124191684233
61,53.5,2.0,21.4,8.1,5.63616777074552
108,90.4,0.3,23.2,8.7,7.0147897481409105
123,224.0,2.4,15.6,11.6,13.486874694427387
129,220.3,49.0,3.2,24.7,21.967535171849057
106,137.9,46.4,59.0,19.2,17.95355428116777
41,202.5,22.3,31.6,16.6,16.289296578837806
75,213.4,24.6,13.1,17.0,17.137435052920356
19,69.2,20.5,18.3,11.3,9.796404567543089
17,67.8,36.6,114.0,12.5,13.154110938131009
